time,target_pos,actual_pos,z_force
0.09999999999999999,-0.04344164991601857,7.450569938782792e-09,-10.0
0.20000000000000004,-0.11113997886390134,-0.005114911124110222,-10.0
0.3000000000000001,-0.14346237810203855,-0.0468510165810585,-10.0
0.4000000000000002,-0.13077960470095398,-0.09685076028108597,-10.0
0.5000000000000002,-0.10049883091263422,-0.1299305409193039,-10.0
0.6000000000000003,-0.08200093322230606,-0.1227271780371666,-10.0
0.7000000000000004,-0.08419236792455324,-0.09688137471675873,-10.0
0.8000000000000005,-0.09715600052295437,-0.0809178426861763,-10.0
0.9000000000000006,-0.10701407040007671,-0.08359122276306152,-10.0
1.0000000000000007,-0.10774650768149743,-0.09581268578767776,-10.0
1.1000000000000008,-0.10247522443462774,-0.10546169430017471,-10.0
1.2000000000000008,-0.09749466614415236,-0.10659321397542953,-10.0
1.300000000000001,-0.0963592613588917,-0.10186454653739929,-10.0
1.400000000000001,-0.09836297978207005,-0.09750956296920776,-10.0
1.500000000000001,-0.1007693000831019,-0.09654032438993454,-10.0
1.6000000000000012,-0.10164301478461713,-0.09833294153213501,-10.0
1.7000000000000013,-0.10095510149126082,-0.1005781888961792,-10.0
1.8000000000000014,-0.09983923314871722,-0.10145381093025208,-10.0
1.9000000000000015,-0.09928962009442528,-0.10084085166454315,-10.0
2.0000000000000013,-0.09948415553516464,-0.09984889626502991,-10.0
2.099999999999999,-0.09998085136719746,-0.09934280067682266,-10.0
2.199999999999997,-0.10029235564452825,-0.09952481091022491,-10.0
2.299999999999995,-0.10026337433442173,-0.09997870773077011,-10.0
2.399999999999993,-0.10005189336200404,-0.10026194900274277,-10.0
2.4999999999999907,-0.09988702216767072,-0.10024239122867584,-10.0
2.5999999999999885,-0.09987158175314251,-0.10005076974630356,-10.0
2.6999999999999864,-0.0999569919361582,-0.0998985692858696,-10.0
2.7999999999999843,-0.10003983068810768,-0.09987930953502655,-10.0
2.899999999999982,-0.10006007077871426,-0.0999501571059227,-10.0
2.99999999999998,-0.10002791210811375,-0.1000293493270874,-10.0
3.099999999999978,-0.0999880839787457,-0.10005459189414978,-10.0
3.1999999999999758,-0.0999730205052916,-0.10003039240837097,-10.0
3.2999999999999736,-0.09998388757901115,-0.09999313205480576,-10.0
3.3999999999999715,-0.10000227029194173,-0.09997575730085373,-10.0
3.4999999999999694,-0.10001160330721652,-0.09998370707035065,-10.0
3.5999999999999672,-0.10000863872565358,-0.10000029951334,-10.0
3.699999999999965,-0.10000049626180088,-0.10001020133495331,-10.0
3.799999999999963,-0.09999525528169037,-0.10000845044851303,-10.0
3.899999999999961,-0.09999561456535241,-0.10000114142894745,-10.0
3.9999999999999587,-0.09999906211186099,-0.09999600052833557,-10.0
4.099999999999957,-0.10000181758687585,-0.0999956950545311,-10.0
4.199999999999955,-0.10000212767884102,-0.09999874979257584,-10.0
4.299999999999953,-0.10000074506607251,-0.10000146925449371,-10.0
4.399999999999951,-0.09999936806906654,-0.10000196099281311,-10.0
4.4999999999999485,-0.09999900939575476,-0.10000085830688477,-10.0
4.599999999999946,-0.09999952480251945,-0.09999954700469971,-10.0
4.699999999999944,-0.1000001836556575,-0.09999909996986389,-10.0
4.799999999999942,-0.10000044276587304,-0.09999951720237732,-10.0
4.89999999999994,-0.10000027154945347,-0.10000009089708328,-10.0
4.999999999999938,-0.09999996888132423,-0.10000039637088776,-10.0
5.099999999999936,-0.09999981059978734,-0.10000029951334,-10.0
5.199999999999934,-0.09999985543449515,-0.1000000387430191,-10.0
5.299999999999931,-0.09999998883549266,-0.09999984502792358,-10.0
5.399999999999929,-0.10000007693676814,-0.09999984502792358,-10.0
5.499999999999927,-0.10000007297745857,-0.09999994933605194,-10.0
5.599999999999925,-0.10000001681641657,-0.1000000536441803,-10.0
5.699999999999923,-0.09999997079562842,-0.10000006854534149,-10.0
5.799999999999921,-0.09999996476733358,-0.10000002384185791,-10.0
5.899999999999919,-0.09999998712737655,-0.09999997913837433,-10.0
5.9999999999999165,-0.10000001000335443,-0.09999996423721313,-10.0
6.099999999999914,-0.10000001632674313,-0.09999997913837433,-10.0
6.199999999999912,-0.10000000807862179,-0.09999999403953552,-10.0
6.29999999999991,-0.09999999718555067,-0.10000000894069672,-10.0
6.399999999999908,-0.09999999273794984,-0.10000000894069672,-10.0
6.499999999999906,-0.09999999542774196,-0.09999999403953552,-10.0
6.599999999999904,-0.10000000040835433,-0.09999999403953552,-10.0
6.699999999999902,-0.10000000308943985,-0.09999999403953552,-10.0
6.7999999999998995,-0.10000000241753064,-0.09999999403953552,-10.0
6.899999999999897,-0.10000000023331262,-0.09999999403953552,-10.0
6.999999999999895,-0.0999999987535698,-0.09999999403953552,-10.0
7.099999999999893,-0.09999999878631585,-0.09999999403953552,-10.0
7.199999999999891,-0.0999999997005083,-0.09999999403953552,-10.0
7.299999999999889,-0.10000000046861938,-0.09999999403953552,-10.0
7.399999999999887,-0.10000000058310439,-0.09999999403953552,-10.0
7.4999999999998845,-0.10000000022185435,-0.09999999403953552,-10.0
7.599999999999882,-0.0999999998420355,-0.09999999403953552,-10.0
7.69999999999988,-0.09999999973105692,-0.09999999403953552,-10.0
7.799999999999878,-0.09999999986284334,-0.09999999403953552,-10.0
7.899999999999876,-0.10000000004284461,-0.09999999403953552,-10.0
7.999999999999874,-0.10000000011903797,-0.09999999403953552,-10.0
8.099999999999872,-0.10000000007691685,-0.09999999403953552,-10.0
8.19999999999987,-0.09999999999500327,-0.09999999403953552,-10.0
8.299999999999867,-0.09999999994964158,-0.09999999403953552,-10.0
8.399999999999865,-0.09999999995960021,-0.09999999403953552,-10.0
8.499999999999863,-0.09999999999534082,-0.09999999403953552,-10.0
8.599999999999861,-0.10000000002017423,-0.09999999403953552,-10.0
8.699999999999859,-0.10000000002017283,-0.09999999403953552,-10.0
8.799999999999857,-0.10000000000530294,-0.09999999403953552,-10.0
8.899999999999855,-0.09999999999249108,-0.09999999403953552,-10.0
8.999999999999853,-0.09999999999035483,-0.09999999403953552,-10.0
9.09999999999985,-0.09999999999618508,-0.09999999403953552,-10.0
9.199999999999848,-0.1000000000024878,-0.09999999403953552,-10.0
9.299999999999846,-0.10000000000442776,-0.09999999403953552,-10.0
9.399999999999844,-0.10000000000232563,-0.09999999403953552,-10.0
9.499999999999842,-0.09999999999935284,-0.09999999403953552,-10.0
9.59999999999984,-0.09999999999804993,-0.09999999403953552,-10.0
9.699999999999838,-0.09999999999870718,-0.09999999403953552,-10.0
9.799999999999836,-0.10000000000005364,-0.09999999403953552,-10.0
9.899999999999833,-0.10000000000082025,-0.09999999403953552,-10.0
9.999999999999831,-0.10000000000067466,-0.09999999403953552,-10.0
10.09999999999983,-0.10000000000009021,-0.09999999403953552,-10.0
10.199999999999827,-0.0999999999996738,-0.09999999403953552,-10.0
10.299999999999825,-0.0999999999996649,-0.09999999403953552,-10.0
10.399999999999823,-0.09999999999990657,-0.09999999403953552,-10.0
10.49999999999982,-0.10000000000012013,-0.09999999403953552,-10.0
10.599999999999818,-0.10000000000015945,-0.09999999403953552,-10.0
10.699999999999816,-0.10000000000006545,-0.09999999403953552,-10.0
10.799999999999814,-0.09999999999996094,-0.09999999403953552,-10.0
10.899999999999812,-0.09999999999992715,-0.09999999403953552,-10.0
10.99999999999981,-0.0999999999999606,-0.09999999403953552,-10.0
11.099999999999808,-0.10000000000000968,-0.09999999403953552,-10.0
11.199999999999806,-0.10000000000003194,-0.09999999403953552,-10.0
11.299999999999804,-0.10000000000002171,-0.09999999403953552,-10.0
11.399999999999801,-0.0999999999999996,-0.09999999403953552,-10.0
11.4999999999998,-0.09999999999998664,-0.09999999403953552,-10.0
11.599999999999797,-0.09999999999998872,-0.09999999403953552,-10.0
11.699999999999795,-0.09999999999999827,-0.09999999403953552,-10.0
11.799999999999793,-0.10000000000000527,-0.09999999403953552,-10.0
11.89999999999979,-0.1000000000000056,-0.09999999403953552,-10.0
11.999999999999789,-0.10000000000000166,-0.09999999403953552,-10.0
12.099999999999786,-0.09999999999999806,-0.09999999403953552,-10.0
12.199999999999784,-0.09999999999999733,-0.09999999403953552,-10.0
12.299999999999782,-0.09999999999999887,-0.09999999403953552,-10.0
12.39999999999978,-0.10000000000000062,-0.09999999403953552,-10.0
12.499999999999778,-0.10000000000000124,-0.09999999403953552,-10.0
12.599999999999776,-0.10000000000000069,-0.09999999403953552,-10.0
12.699999999999774,-0.09999999999999987,-0.09999999403953552,-10.0
12.799999999999772,-0.09999999999999946,-0.09999999403953552,-10.0
12.89999999999977,-0.09999999999999962,-0.09999999403953552,-10.0
12.999999999999767,-0.1,-0.09999999403953552,-10.0
13.099999999999765,-0.10000000000000023,-0.09999999403953552,-10.0
13.199999999999763,-0.10000000000000019,-0.09999999403953552,-10.0
13.299999999999761,-0.10000000000000005,-0.09999999403953552,-10.0
13.399999999999759,-0.09999999999999991,-0.09999999403953552,-10.0
13.499999999999757,-0.0999999999999999,-0.09999999403953552,-10.0
13.599999999999755,-0.09999999999999998,-0.09999999403953552,-10.0
13.699999999999752,-0.10000000000000003,-0.09999999403953552,-10.0
13.79999999999975,-0.10000000000000003,-0.09999999403953552,-10.0
13.899999999999748,-0.10000000000000003,-0.09999999403953552,-10.0
13.999999999999746,-0.10000000000000003,-0.09999999403953552,-10.0
14.099999999999744,-0.10000000000000003,-0.09999999403953552,-10.0
14.199999999999742,-0.10000000000000003,-0.09999999403953552,-10.0
14.29999999999974,-0.10000000000000003,-0.09999999403953552,-10.0
14.399999999999737,-0.10000000000000003,-0.09999999403953552,-10.0
14.499999999999735,-0.10000000000000003,-0.09999999403953552,-10.0
14.599999999999733,-0.10000000000000003,-0.09999999403953552,-10.0
14.699999999999731,-0.10000000000000003,-0.09999999403953552,-10.0
14.799999999999729,-0.10000000000000003,-0.09999999403953552,-10.0
14.899999999999727,-0.10000000000000003,-0.09999999403953552,-10.0
14.999999999999725,-0.10000000000000003,-0.09999999403953552,-10.0
15.099999999999723,-0.10000000000000003,-0.09999999403953552,-10.0
15.19999999999972,-0.10000000000000003,-0.09999999403953552,-10.0
15.299999999999718,-0.10000000000000003,-0.09999999403953552,-10.0
15.399999999999716,-0.10000000000000003,-0.09999999403953552,-10.0
15.499999999999714,-0.10000000000000003,-0.09999999403953552,-10.0
15.599999999999712,-0.10000000000000003,-0.09999999403953552,-10.0
15.69999999999971,-0.10000000000000003,-0.09999999403953552,-10.0
15.799999999999708,-0.10000000000000003,-0.09999999403953552,-10.0
15.899999999999705,-0.10000000000000003,-0.09999999403953552,-10.0
15.999999999999703,-0.10000000000000003,-0.09999999403953552,-10.0
16.099999999999717,-0.10000000000000003,-0.09999999403953552,-10.0
16.199999999999733,-0.10000000000000003,-0.09999999403953552,-10.0
16.29999999999975,-0.10000000000000003,-0.09999999403953552,-10.0
16.399999999999764,-0.10000000000000003,-0.09999999403953552,-10.0
16.49999999999978,-0.10000000000000003,-0.09999999403953552,-10.0
16.599999999999795,-0.10000000000000003,-0.09999999403953552,-10.0
16.69999999999981,-0.10000000000000003,-0.09999999403953552,-10.0
16.799999999999827,-0.10000000000000003,-0.09999999403953552,-10.0
16.899999999999842,-0.10000000000000003,-0.09999999403953552,-10.0
16.999999999999858,-0.10000000000000003,-0.09999999403953552,-10.0
17.099999999999874,-0.10000000000000003,-0.09999999403953552,-10.0
17.19999999999989,-0.10000000000000003,-0.09999999403953552,-10.0
17.299999999999905,-0.10000000000000003,-0.09999999403953552,-10.0
17.39999999999992,-0.10000000000000003,-0.09999999403953552,-10.0
17.499999999999936,-0.10000000000000003,-0.09999999403953552,-10.0
17.59999999999995,-0.10000000000000003,-0.09999999403953552,-10.0
17.699999999999967,-0.10000000000000003,-0.09999999403953552,-10.0
17.799999999999983,-0.10000000000000003,-0.09999999403953552,-10.0
17.9,-0.10000000000000003,-0.09999999403953552,-10.0
18.000000000000014,-0.10000000000000003,-0.09999999403953552,-10.0
18.10000000000003,-0.10000000000000003,-0.09999999403953552,-10.0
18.200000000000045,-0.10000000000000003,-0.09999999403953552,-10.0
18.30000000000006,-0.10000000000000003,-0.09999999403953552,-10.0
18.400000000000077,-0.10000000000000003,-0.09999999403953552,-10.0
18.500000000000092,-0.10000000000000003,-0.09999999403953552,-10.0
18.600000000000108,-0.10000000000000003,-0.09999999403953552,-10.0
18.700000000000124,-0.10000000000000003,-0.09999999403953552,-10.0
18.80000000000014,-0.10000000000000003,-0.09999999403953552,-10.0
18.900000000000155,-0.10000000000000003,-0.09999999403953552,-10.0
19.00000000000017,-0.10000000000000003,-0.09999999403953552,-10.0
19.100000000000186,-0.10000000000000003,-0.09999999403953552,-10.0
19.200000000000202,-0.10000000000000003,-0.09999999403953552,-10.0
19.300000000000217,-0.10000000000000003,-0.09999999403953552,-10.0
19.400000000000233,-0.10000000000000003,-0.09999999403953552,-10.0
19.50000000000025,-0.10000000000000003,-0.09999999403953552,-10.0
19.600000000000264,-0.10000000000000003,-0.09999999403953552,-10.0
19.70000000000028,-0.10000000000000003,-0.09999999403953552,-10.0
19.800000000000296,-0.10000000000000003,-0.09999999403953552,-10.0
19.90000000000031,-0.10000000000000003,-0.09999999403953552,-10.0
20.000000000000327,-0.10000000000000003,-0.09999999403953552,-10.0
20.100000000000342,-0.10000000000000003,-0.09999999403953552,-10.0
20.200000000000358,-0.10000000000000003,-0.09999999403953552,-10.0
20.300000000000374,-0.10000000000000003,-0.09999999403953552,-10.0
20.40000000000039,-0.10000000000000003,-0.09999999403953552,-10.0
20.500000000000405,-0.10000000000000003,-0.09999999403953552,-10.0
20.60000000000042,-0.10000000000000003,-0.09999999403953552,-10.0
20.700000000000436,-0.10000000000000003,-0.09999999403953552,-10.0
20.800000000000452,-0.10000000000000003,-0.09999999403953552,-10.0
20.900000000000468,-0.10000000000000003,-0.09999999403953552,-10.0
21.000000000000483,-0.10000000000000003,-0.09999999403953552,-10.0
21.1000000000005,-0.10000000000000003,-0.09999999403953552,-10.0
21.200000000000514,-0.10000000000000003,-0.09999999403953552,-10.0
21.30000000000053,-0.10000000000000003,-0.09999999403953552,-10.0
21.400000000000546,-0.10000000000000003,-0.09999999403953552,-10.0
21.50000000000056,-0.10000000000000003,-0.09999999403953552,-10.0
21.600000000000577,-0.10000000000000003,-0.09999999403953552,-10.0
21.700000000000593,-0.10000000000000003,-0.09999999403953552,-10.0
21.80000000000061,-0.10000000000000003,-0.09999999403953552,-10.0
21.900000000000624,-0.10000000000000003,-0.09999999403953552,-10.0
22.00000000000064,-0.10000000000000003,-0.09999999403953552,-10.0
22.100000000000655,-0.10000000000000003,-0.09999999403953552,-10.0
22.20000000000067,-0.10000000000000003,-0.09999999403953552,-10.0
22.300000000000686,-0.10000000000000003,-0.09999999403953552,-10.0
22.400000000000702,-0.10000000000000003,-0.09999999403953552,-10.0
22.500000000000718,-0.10000000000000003,-0.09999999403953552,-10.0
22.600000000000733,-0.10000000000000003,-0.09999999403953552,-10.0
22.70000000000075,-0.10000000000000003,-0.09999999403953552,-10.0
22.800000000000765,-0.10000000000000003,-0.09999999403953552,-10.0
22.90000000000078,-0.10000000000000003,-0.09999999403953552,-10.0
23.000000000000796,-0.10000000000000003,-0.09999999403953552,-10.0
23.10000000000081,-0.10000000000000003,-0.09999999403953552,-10.0
23.200000000000827,-0.10000000000000003,-0.09999999403953552,-10.0
23.300000000000843,-0.10000000000000003,-0.09999999403953552,-10.0
23.40000000000086,-0.10000000000000003,-0.09999999403953552,-10.0
23.500000000000874,-0.10000000000000003,-0.09999999403953552,-10.0
23.60000000000089,-0.10000000000000003,-0.09999999403953552,-10.0
23.700000000000905,-0.10000000000000003,-0.09999999403953552,-10.0
23.80000000000092,-0.10000000000000003,-0.09999999403953552,-10.0
23.900000000000936,-0.10000000000000003,-0.09999999403953552,-10.0
24.000000000000952,-0.10000000000000003,-0.09999999403953552,-10.0
24.100000000000968,-0.10000000000000003,-0.09999999403953552,-10.0
24.200000000000983,-0.10000000000000003,-0.09999999403953552,-10.0
24.300000000001,-0.10000000000000003,-0.09999999403953552,-10.0
24.400000000001015,-0.10000000000000003,-0.09999999403953552,-10.0
24.50000000000103,-0.10000000000000003,-0.09999999403953552,-10.0
24.600000000001046,-0.10000000000000003,-0.09999999403953552,-10.0
24.70000000000106,-0.10000000000000003,-0.09999999403953552,-10.0
24.800000000001077,-0.10000000000000003,-0.09999999403953552,-10.0
24.900000000001093,-0.10000000000000003,-0.09999999403953552,-10.0
25.00000000000111,-0.10000000000000003,-0.09999999403953552,-10.0
25.100000000001124,-0.10000000000000003,-0.09999999403953552,-10.0
25.20000000000114,-0.10000000000000003,-0.09999999403953552,-10.0
25.300000000001155,-0.10000000000000003,-0.09999999403953552,-10.0
25.40000000000117,-0.10000000000000003,-0.09999999403953552,-10.0
25.500000000001187,-0.10000000000000003,-0.09999999403953552,-10.0
25.600000000001202,-0.10000000000000003,-0.09999999403953552,-10.0
25.700000000001218,-0.10000000000000003,-0.09999999403953552,-10.0
25.800000000001234,-0.10000000000000003,-0.09999999403953552,-10.0
25.90000000000125,-0.10000000000000003,-0.09999999403953552,-10.0
26.000000000001265,-0.10000000000000003,-0.09999999403953552,-10.0
26.10000000000128,-0.10000000000000003,-0.09999999403953552,-10.0
26.200000000001296,-0.10000000000000003,-0.09999999403953552,-10.0
26.30000000000131,-0.10000000000000003,-0.09999999403953552,-10.0
26.400000000001327,-0.10000000000000003,-0.09999999403953552,-10.0
26.500000000001343,-0.10000000000000003,-0.09999999403953552,-10.0
26.60000000000136,-0.10000000000000003,-0.09999999403953552,-10.0
26.700000000001374,-0.10000000000000003,-0.09999999403953552,-10.0
26.80000000000139,-0.10000000000000003,-0.09999999403953552,-10.0
26.900000000001405,-0.10000000000000003,-0.09999999403953552,-10.0
27.00000000000142,-0.10000000000000003,-0.09999999403953552,-10.0
27.100000000001437,-0.10000000000000003,-0.09999999403953552,-10.0
27.200000000001452,-0.10000000000000003,-0.09999999403953552,-10.0
27.300000000001468,-0.10000000000000003,-0.09999999403953552,-10.0
27.400000000001484,-0.10000000000000003,-0.09999999403953552,-10.0
27.5000000000015,-0.10000000000000003,-0.09999999403953552,-10.0
27.600000000001515,-0.10000000000000003,-0.09999999403953552,-10.0
27.70000000000153,-0.10000000000000003,-0.09999999403953552,-10.0
27.800000000001546,-0.10000000000000003,-0.09999999403953552,-10.0
27.90000000000156,-0.10000000000000003,-0.09999999403953552,-10.0
28.000000000001577,-0.10000000000000003,-0.09999999403953552,-10.0
28.100000000001593,-0.10000000000000003,-0.09999999403953552,-10.0
28.20000000000161,-0.10000000000000003,-0.09999999403953552,-10.0
28.300000000001624,-0.10000000000000003,-0.09999999403953552,-10.0
28.40000000000164,-0.10000000000000003,-0.09999999403953552,-10.0
